emg smp,emg val,bioz smp,bioz val,mmg smp,mmg val
0,0,0,0,95,-202.0
0,0,0,0,96,-104.0
0,0,0,0,97,-190.0
0,0,0,0,98,-115.0
0,0,0,0,99,54.0
0,0,0,0,100,-267.0
0,0,0,0,101,-253.0
0,0,0,0,102,-269.0
0,0,0,0,103,-421.0
0,0,0,0,104,-72.0
112,-0.042295,0,0,0,0
113,-0.036955,0,0,0,0
114,-0.04425,0,0,0,0
115,-0.041819,0,0,0,0
116,-0.042582,0,0,0,0
117,-0.046062,0,0,0,0
118,-0.042534,0,0,0,0
119,-0.044298,0,0,0,0
120,-0.040531,0,0,0,0
121,-0.042248,0,0,0,0
122,-0.046015,0,0,0,0
123,-0.041246,0,0,0,0
124,-0.042248,0,0,0,0
125,-0.044203,0,0,0,0
126,-0.046492,0,0,0,0
127,-0.045156,0,0,0,0
128,-0.041771,0,0,0,0
129,-0.042248,0,0,0,0
130,-0.043678,0,0,0,0
131,-0.049543,0,0,0,0
132,-0.047207,0,0,0,0
133,-0.045109,0,0,0,0
134,-0.048447,0,0,0,0
135,-0.043154,0,0,0,0
136,-0.043774,0,0,0,0
137,-0.043058,0,0,0,0
138,-0.04487,0,0,0,0
139,-0.045443,0,0,0,0
140,-0.03686,0,0,0,0
141,-0.046682,0,0,0,0
142,-0.049305,0,0,0,0
143,-0.04015,0,0,0,0
0,0,0,0,105,58.0
0,0,0,0,106,-65.0
0,0,0,0,107,99.0
0,0,0,0,108,107.0
0,0,0,0,109,-225.0
0,0,0,0,110,131.0
0,0,0,0,111,-81.0
0,0,0,0,112,-27.0
0,0,0,0,113,-160.0
0,0,0,0,114,-94.0
0,0,0,0,115,169.0
0,0,0,0,116,-250.0
0,0,0,0,117,-138.0
0,0,0,0,118,185.0
0,0,0,0,119,157.0
144,-0.046539,0,0,0,0
145,-0.044632,0,0,0,0
146,-0.047302,0,0,0,0
147,-0.047302,0,0,0,0
148,-0.047112,0,0,0,0
149,-0.047112,0,0,0,0
150,-0.045347,0,0,0,0
151,-0.045586,0,0,0,0
0,0,0,0,120,-47.0
0,0,0,0,121,-446.0
0,0,0,0,122,-203.0
0,0,0,0,123,-61.0
0,0,0,0,124,-134.0
0,0,0,0,125,-515.0
0,0,0,0,126,-182.0
0,0,0,0,127,-32.0
0,0,0,0,128,-318.0
0,0,0,0,129,-311.0
0,0,0,0,130,-327.0
0,0,0,0,131,-424.0
0,0,0,0,132,-509.0
0,0,0,0,133,-236.0
0,0,0,0,134,-156.0
152,-0.047731,0,0,0,0
153,-0.044727,0,0,0,0
154,-0.046539,0,0,0,0
155,-0.047827,0,0,0,0
156,-0.040865,0,0,0,0
157,-0.045156,0,0,0,0
158,-0.047302,0,0,0,0
159,-0.045204,0,0,0,0
160,-0.048542,0,0,0,0
161,-0.046444,0,0,0,0
162,-0.038719,0,0,0,0
163,-0.041819,0,0,0,0
164,-0.047159,0,0,0,0
165,-0.041819,0,0,0,0
166,-0.04282,0,0,0,0
167,-0.045729,0,0,0,0
168,-0.044632,0,0,0,0
169,-0.047493,0,0,0,0
170,-0.041103,0,0,0,0
171,-0.037527,0,0,0,0
172,-0.043535,0,0,0,0
173,-0.044775,0,0,0,0
174,-0.043154,0,0,0,0
175,-0.039387,0,0,0,0
176,-0.040483,0,0,0,0
177,-0.04735,0,0,0,0
178,-0.052309,0,0,0,0
179,-0.044346,0,0,0,0
180,-0.04077,0,0,0,0
181,-0.044918,0,0,0,0
182,-0.040817,0,0,0,0
183,-0.041008,0,0,0,0
0,0,0,0,135,31.0
0,0,0,0,136,220.0
0,0,0,0,137,98.0
0,0,0,0,138,117.0
0,0,0,0,139,223.0
0,0,0,0,140,83.0
0,0,0,0,141,250.0
0,0,0,0,142,98.0
0,0,0,0,143,-99.0
0,0,0,0,144,5.0
0,0,0,0,145,53.0
0,0,0,0,146,-50.0
0,0,0,0,147,-96.0
0,0,0,0,148,201.0
0,0,0,0,149,97.0
184,-0.04096,0,0,0,0
185,-0.045729,0,0,0,0
186,-0.045872,0,0,0,0
187,-0.037479,0,0,0,0
188,-0.043964,0,0,0,0
189,-0.048065,0,0,0,0
190,-0.045061,0,0,0,0
191,-0.042534,0,0,0,0
192,-0.040483,0,0,0,0
193,-0.048304,0,0,0,0
194,-0.048637,0,0,0,0
195,-0.043106,0,0,0,0
196,-0.0453,0,0,0,0
197,-0.043249,0,0,0,0
198,-0.043154,0,0,0,0
199,-0.046635,0,0,0,0
0,0,0,0,150,-389.0
0,0,0,0,151,5.0
0,0,0,0,152,-236.0
0,0,0,0,153,-273.0
0,0,0,0,154,-433.0
0,0,0,0,155,-339.0
0,0,0,0,156,110.0
0,0,0,0,157,24.0
0,0,0,0,158,-167.0
0,0,0,0,159,-439.0
0,0,0,0,160,-212.0
0,0,0,0,161,-263.0
0,0,0,0,162,-243.0
0,0,0,0,163,-304.0
0,0,0,0,164,-238.0
200,-0.048208,0,0,0,0
201,-0.047159,0,0,0,0
202,-0.044823,0,0,0,0
203,-0.039959,0,0,0,0
204,-0.04077,0,0,0,0
205,-0.045443,0,0,0,0
206,-0.041771,0,0,0,0
207,-0.042248,0,0,0,0
208,-0.042295,0,0,0,0
209,-0.042009,0,0,0,0
210,-0.043869,0,0,0,0
211,-0.043201,0,0,0,0
212,-0.045013,0,0,0,0
213,-0.044155,0,0,0,0
214,-0.040627,0,0,0,0
215,-0.042105,0,0,0,0
0,0,0,0,165,287.0
0,0,0,0,166,632.0
0,0,0,0,167,367.0
0,0,0,0,168,287.0
0,0,0,0,169,153.0
0,0,0,0,170,339.0
0,0,0,0,171,490.0
0,0,0,0,172,564.0
0,0,0,0,173,312.0
0,0,0,0,174,116.0
0,0,0,0,175,-66.0
0,0,0,0,176,135.0
0,0,0,0,177,-66.0
0,0,0,0,178,377.0
0,0,0,0,179,68.0
216,-0.043154,0,0,0,0
217,-0.0422,0,0,0,0
218,-0.039148,0,0,0,0
219,-0.041342,0,0,0,0
220,-0.045395,0,0,0,0
221,-0.042772,0,0,0,0
222,-0.043488,0,0,0,0
223,-0.041723,0,0,0,0
224,-0.043964,0,0,0,0
225,-0.047779,0,0,0,0
226,-0.04735,0,0,0,0
